Week,Av Max Temp (°C),Av Min Temp (°C),Sunrise Time,Sunset Time,Av Humidity (%)
1,5,-2,07:30:00,17:00:00,80
2,7,0,07:25:00,17:10:00,75
3,9,1,07:20:00,17:20:00,70
4,12,4,07:15:00,17:30:00,65
5,15,7,07:10:00,17:40:00,60
6,18,10,07:05:00,17:50:00,55
7,20,12,07:00:00,18:00:00,50
8,22,14,06:55:00,18:10:00,48
9,21,13,06:50:00,18:20:00,52
10,17,9,06:45:00,18:30:00,58
11,12,4,06:40:00,18:40:00,63
12,8,1,06:35:00,18:50:00,68
13,5,-2,06:30:00,19:00:00,72
14,9,1,06:25:00,19:10:00,70
15,14,6,06:20:00,19:20:00,65
16,18,10,06:15:00,19:30:00,60
17,21,13,06:10:00,19:40:00,55
18,23,15,06:05:00,19:50:00,50
19,24,16,06:00:00,20:00:00,48
20,22,14,05:55:00,20:10:00,52
21,18,10,05:50:00,20:20:00,58
22,13,5,05:45:00,20:30:00,63
23,8,1,05:40:00,20:40:00,68
24,6,-2,05:35:00,20:50:00,72
25,10,2,05:30:00,21:00:00,70
26,15,7,05:25:00,21:10:00,65
27,19,11,05:20:00,21:20:00,60
28,22,14,05:15:00,21:30:00,55
29,24,16,05:10:00,21:40:00,50
30,23,15,05:05:00,21:50:00,48
31,20,12,05:00:00,22:00:00,52
32,16,8,04:55:00,22:10:00,58
33,11,3,04:50:00,22:20:00,63
34,7,0,04:45:00,22:30:00,68
35,5,-2,04:40:00,22:40:00,72
36,9,1,04:35:00,22:50:00,70
37,14,6,04:30:00,23:00:00,65
38,18,10,04:25:00,23:10:00,60
39,21,13,04:20:00,23:20:00,55
40,19,12,04:17:00,23:23:00,55
41,18,10,04:15:00,23:30:00,60
42,14,6,04:10:00,23:40:00,65
43,10,2,04:05:00,23:50:00,70
44,6,-2,04:00:00,00:00:00,72    
45,9,1,07:25:00,17:10:00,70
46,14,6,07:20:00,17:20:00,65
47,18,10,07:15:00,17:30:00,60
48,21,13,07:10:00,17:40:00,55
49,23,15,07:05:00,17:50:00,50
50,24,16,07:00:00,18:00:00,48
51,22,14,06:55:00,18:10:00,52
52,18,10,06:50:00,18:20:00,58
